GSM	sample_title	accession_number	accession_name	growth_temperature	tissue	developmental_stage	target_gene	raw_counts	RPKM	processed_file
GSM1321817	s6092_16C	6092	T1020	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000193268397548	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321817/suppl/GSM1321817_s6092_16C_expression_table.txt.gz
GSM1321818	s6094_10C	6094	T1040	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321818/suppl/GSM1321818_s6094_10C_expression_table.txt.gz
GSM1321819	s6094_16C	6094	T1040	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321819/suppl/GSM1321819_s6094_16C_expression_table.txt.gz
GSM1321820	s6098_10C	6098	T1080	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321820/suppl/GSM1321820_s6098_10C_expression_table.txt.gz
GSM1321821	s6098_16C	6098	T1080	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321821/suppl/GSM1321821_s6098_16C_expression_table.txt.gz
GSM1321822	s6100_10C	6100	T1110	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321822/suppl/GSM1321822_s6100_10C_expression_table.txt.gz
GSM1321823	s6100_16C	6100	T1110	16C	whole rosette	9-leaf stage	AT1G11560	2.0	0.000371825314149	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321823/suppl/GSM1321823_s6100_16C_expression_table.txt.gz
GSM1321824	s6102_10C	6102	T1130	10C	whole rosette	9-leaf stage	AT1G11560	2.0	0.00051995706675	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321824/suppl/GSM1321824_s6102_10C_expression_table.txt.gz
GSM1321825	s6102_16C	6102	T1130	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321825/suppl/GSM1321825_s6102_16C_expression_table.txt.gz
GSM1321826	s6104_10C	6104	T1160	10C	whole rosette	9-leaf stage	AT1G11560	0.333333333333	0.000173809850726	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321826/suppl/GSM1321826_s6104_10C_expression_table.txt.gz
GSM1321827	s6104_16C	6104	T1160	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000393809253013	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321827/suppl/GSM1321827_s6104_16C_expression_table.txt.gz
GSM1321828	s6105_10C	6105	T450	10C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000211578524209	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321828/suppl/GSM1321828_s6105_10C_expression_table.txt.gz
GSM1321829	s6105_16C	6105	T450	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321829/suppl/GSM1321829_s6105_16C_expression_table.txt.gz
GSM1321830	s6108_10C	6108	T480	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321830/suppl/GSM1321830_s6108_10C_expression_table.txt.gz
GSM1321831	s6108_16C	6108	T480	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321831/suppl/GSM1321831_s6108_16C_expression_table.txt.gz
GSM1321832	s6109_10C	6109	T510	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321832/suppl/GSM1321832_s6109_10C_expression_table.txt.gz
GSM1321833	s6109_16C	6109	T510	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000708328913007	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321833/suppl/GSM1321833_s6109_16C_expression_table.txt.gz
GSM1321834	s6112_10C	6112	T540	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321834/suppl/GSM1321834_s6112_10C_expression_table.txt.gz
