run	biosample	sample_name	genotype_id	environment	replicate_flag	library_strategy	library_layout	platform	spots	bases	download_path
SRR11933327	SAMN15145309	P178_WS1	P178	WS1		RNA-Seq	PAIRED	ILLUMINA	30458555	1415329668	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933327/SRR11933327.lite.1
SRR11933326	SAMN15145310	P178_WS2	P178	WS2		RNA-Seq	PAIRED	ILLUMINA	45443458	2026107755	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933326/SRR11933326.lite.1
SRR11933324	SAMN15145311	P178_WW	P178	WW		RNA-Seq	PAIRED	ILLUMINA	93479224	4245138995	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933324/SRR11933324.lite.1
SRR11933323	SAMN15145312	PH4CV_WS1	PH4CV	WS1		RNA-Seq	PAIRED	ILLUMINA	55995615	2807179245	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933323/SRR11933323.lite.1
SRR11933322	SAMN15145313	PH4CV_WS2	PH4CV	WS2		RNA-Seq	PAIRED	ILLUMINA	55629019	2749624682	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933322/SRR11933322.lite.1
SRR11933321	SAMN15145314	PH4CV_WW	PH4CV	WW		RNA-Seq	PAIRED	ILLUMINA	105284296	5190670746	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933321/SRR11933321.lite.1
SRR11933320	SAMN15145315	PH6WC_WS1	PH6WC	WS1		RNA-Seq	PAIRED	ILLUMINA	23995127	1109677108	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933320/SRR11933320.lite.1
SRR11933319	SAMN15145316	PH6WC_WS2	PH6WC	WS2		RNA-Seq	PAIRED	ILLUMINA	33357052	1480231205	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933319/SRR11933319.lite.1
SRR11933318	SAMN15145317	PH6WC_WW	PH6WC	WW		RNA-Seq	PAIRED	ILLUMINA	76403454	3469386395	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933318/SRR11933318.lite.1
SRR11933317	SAMN15145318	R15X1141_WS1	R15X1141	WS1		RNA-Seq	PAIRED	ILLUMINA	40253335	2048955910	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933317/SRR11933317.lite.1
SRR11933316	SAMN15145319	R15X1141_WS2	R15X1141	WS2		RNA-Seq	PAIRED	ILLUMINA	59504105	3029329206	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933316/SRR11933316.lite.1
