GSM	accession_id	accession_name	RPKM	normalized_count
GSM2136317	9848	Glo-1	0	0
GSM2136318	9849	Gud-3	1	1
GSM2136319	9850	Hec-0	5	5
GSM2136320	9851	Hue-3	3	3
GSM2136321	9852	Ini-0	32	32
GSM2136322	9853	Lac-0	0	0
GSM2136323	9854	Laf-1	42	42
GSM2136324	9855	Lam-0	0	0
GSM2136325	9856	Lch-0	66	66
GSM2136326	9858	Loz-0	22	22
GSM2136327	9859	Lro-0	28	28
GSM2136328	9860	Lum-0	1	1
GSM2136329	9861	Mac-0	15	15
GSM2136330	9862	Mad-0	0	0
GSM2136331	9864	Mat-0	1	1
GSM2136332	9866	Mdd-0	31	31
GSM2136333	9867	Mie-1	2	2
GSM2136334	9868	Moe-0	39	39
GSM2136335	9870	Moz-0	49	49
GSM2136336	9871	Nac-0	8	8
GSM2136337	9872	Nag-0	2	2
GSM2136338	9873	Ndc-0	6	6
GSM2136339	9874	Oja-0	6	6
GSM2136340	9875	Ovi-1	0	0
GSM2136341	9876	Pad-0	34	34
GSM2136342	9877	Pdl-0	1	1
GSM2136343	9878	Pee-0	25	25
GSM2136344	9879	Per-0	4	4
GSM2136345	9880	Pib-1	4	4
GSM2136346	9881	Pie-0	9	9
GSM2136347	9882	Pil-0	3	3
GSM2136348	9883	Piq-0	0	0
GSM2136349	9885	Prd-0	3	3
GSM2136350	9886	Pru-0	49	49
GSM2136351	9888	Pva-1	22	22
GSM2136352	9890	Rib-1	0	0
GSM2136353	9891	Sal-0	2	2
GSM2136354	9892	Sam-0	5	5
GSM2136355	9893	Sca-0	0	0
GSM2136356	9894	Sen-0	3	3
GSM2136357	9895	Sfb-6	1	1
GSM2136358	9897	Smt-1	0	0
GSM2136359	9898	Som-0	2	2
GSM2136360	9899	Tau-0	49	49
GSM2136361	9900	Tri-0	2	2
GSM2136362	9901	Urd-1	0	0
GSM2136363	9902	Usa-0	28	28
GSM2136364	9903	Val-0	4	4
GSM2136365	9904	Vas-0	0	0
GSM2136366	9905	Ven-0	8	8
GSM2136367	9906	Mah-6	1	1
GSM2136368	9907	ENC-2-1	2	2
GSM2136369	9908	ESP-1-11	7	7
GSM2136370	9909	GEN-8	0	0
GSM2136371	9911	ARGE-1-15	1	1
GSM2136372	9913	CON-7	4	4
GSM2136373	9915	MAR-4-16	2	2
GSM2136374	9918	SAUL-24	2	2
GSM2136375	9920	DIR-9	2	2
GSM2136376	9921	FOR-23	4	4
GSM2136377	9924	PLY-20	2	2
GSM2136378	9927	ARR-17	4	4
GSM2136379	9928	BEZ-9	3	3
GSM2136380	9929	ISS-20	24	24
GSM2136381	9930	LEC-25	1	1
GSM2136382	9931	MOU2-25	2	2
GSM2136383	9933	VED-10	1	1
GSM2136384	9934	QUI-8	1	1
GSM2136385	9936	LCL-16	4	4
GSM2136386	9937	CATS-6	4	4
GSM2136387	9938	WAV-8	3	3
GSM2136388	9939	Aitba-2	0	0
GSM2136389	9940	Toufl-1	0	0
GSM2136390	9941	Fei-0	1	1
GSM2136391	9942	Agu-1	22	22
GSM2136392	9943	Cdm-0	3	3
GSM2136393	9944	Don-0	3	3
GSM2136394	9945	Leo-1	43	43
GSM2136395	9946	Mer-6	1	1
GSM2136396	9947	Ped-0	37	37
GSM2136397	9948	Pra-6	28	28
GSM2136398	9949	Qui-0	7	7
GSM2136399	9950	Vie-0	6	6
GSM2136400	9951	Kly-1	1	1
GSM2136401	9952	Kly-4	2	2
GSM2136402	9953	Koz-2	1	1
GSM2136403	9954	Leb-3	0	0
GSM2136404	9957	Borsk-2	2	2
GSM2136405	9958	Shigu-1	1	1
GSM2136406	9959	Shigu-2	2	2
GSM2136407	9960	Kidr-1	2	2
GSM2136408	9961	Krazo-2	3	3
GSM2136409	9962	Galdo-1	0	0
GSM2136410	9963	Lago-1	1	1
GSM2136411	9964	Mammo-1	0	0
GSM2136412	9965	Mammo-2	2	2
GSM2136413	9966	Monte-1	29	29
GSM2136414	9967	Moran-1	4	4
GSM2136415	9968	Timpo-1	3	3
GSM2136416	9969	Valsi-1	2	2
GSM2136418	9970	Altenb-2	2	2
GSM2136419	9972	Bozen-1.2	1	1
GSM2136420	9973	Mitterberg-1-181	2	2
GSM2136421	9976	Rovero-1	4	4
GSM2136422	9979	Voeran-1	2	2
GSM2136423	9980	Angel-1	0	0
GSM2136424	9981	Angit-1	14	14
GSM2136425	9982	Apost-1	0	0
GSM2136426	9983	Ciste-1	3	3
GSM2136427	9984	Ciste-2	0	0
GSM2136428	9985	Slavi-1	0	0
GSM2136429	9987	Lecho-1	0	0
GSM2136430	9988	Bak-2	1	1
GSM2136431	9989	Bak-7	0	0
GSM2136432	9990	Lag2.2	40	40
GSM2136433	9991	Vash-1	0	0
GSM2136434	9992	Dog-4	2	2
GSM2136435	9993	Nemrut-1	1	1
GSM2136436	9995	HKT2.4	1	1
GSM2136437	9996	Nie1-2	2	2
GSM2136438	9997	Rue3.1-31	0	0
GSM2136439	9998	Star-8	106	106
GSM2136440	9999	TueSB30-3	0	0
GSM2135714	10000	Tuescha-9	3	3
GSM2135715	10001	TueV-13	2	2
GSM2135716	10002	TueWal-2	15	15
GSM2135717	10006	Kastel-1	0	0
GSM2135718	10008	Sij-1	0	0
GSM2135719	10009	Sij-2	4	4
GSM2135720	10010	Sij-4	0	0
GSM2135721	10011	Yeg-1	2	2
GSM2135722	10012	Istisu-1	2	2
GSM2135723	10013	Lerik1-3	1	1
GSM2135724	10014	Xan-1	5	5
GSM2135725	10015	Sha	1	1
GSM2135726	10016	Del-10	3	3
GSM2135727	10017	Petro-1	0	0
GSM2135728	10018	Dobra-1	0	0
GSM2135729	10019	KZ10	0	0
GSM2135731	10020	Jl-2	3	3
GSM2135732	10021	Hl-0	5	5
GSM2135733	10022	Uk-3	54	54
GSM2135734	10023	Strand-1	4	4
GSM2135735	10024	Tnz-1	75	75
GSM2135736	10026	Bg-5	0	0
